aqm,qmult,min_delay,bandwidth,protocol,run,flow,goodput_mean,goodput_std,delay_mean,delay_std,retr_mean,retr_std,util_mean,util_std
fifo,0.2,10,100,cubic,5,1,33.765969669153,13.105438027635834,22.180897335722513,0.7600693366192325,6.663366336633663,50.602623890016375,94.50126341540405,3.753550556000537
fifo,0.2,10,100,cubic,5,2,34.421188849037,10.920411164878514,22.231184595663404,0.676286947655596,2.198019801980198,7.037072973872303,94.50126341540405,3.753550556000537
fifo,0.2,10,100,cubic,5,3,45.78132895418601,25.77495217508548,22.026620315060455,0.761014535825589,1.37,2.1492540401946276,94.50126341540405,3.753550556000537
fifo,0.2,10,100,orca,1,0,54.64818392929294,19.95972892119188,22.911690405288613,0.4957162179789912,829.54,354.69837577550004,85.56678109217174,28.83978103435577
fifo,0.2,10,100,orca,1,1,31.02788180808081,10.106088838433601,22.982674763294177,0.3462144409862377,574.7227722772277,206.31127544619957,85.56678109217174,28.83978103435577
fifo,0.2,10,100,orca,1,2,27.753647747474748,13.128755857807313,22.99156828553528,0.2437746934762389,499.8019801980198,200.39825447353476,85.56678109217174,28.83978103435577
fifo,0.2,10,100,orca,1,3,43.89223857575758,33.4149936342861,22.70405747780519,0.5597908928604433,695.13,472.07722050657355,85.56678109217174,28.83978103435577
fifo,0.2,10,100,orca,2,0,60.1539491010101,21.986801224601248,22.8160914559903,0.6391312127212526,861.6999,345.9658448445161,93.06961332070706,13.730480021937474
fifo,0.2,10,100,orca,2,1,36.46569109090909,9.974118395602488,22.956986642731348,0.3263245897045406,665.6039603960396,206.01874085664733,93.06961332070706,13.730480021937474
fifo,0.2,10,100,orca,2,2,24.141899232323233,15.815213208366593,22.9487040956556,0.21382172537792246,450.1188118811881,263.520029110833,93.06961332070706,13.730480021937474
fifo,0.2,10,100,orca,2,3,44.157189585858596,32.78393563919141,22.724022257669567,0.4542212086930748,617.89,354.8289926716869,93.06961332070706,13.730480021937474
fifo,0.2,10,100,orca,3,0,58.12783135353536,24.028718275821674,22.81685271886845,0.6481481157313036,785.37,345.8788733798366,93.02752919823232,13.779190362184817
fifo,0.2,10,100,orca,3,1,38.24131664646465,11.278133008679806,23.023999519539917,0.3751624915337406,695.4752475247525,246.05644043834354,93.02752919823232,13.779190362184817
fifo,0.2,10,100,orca,3,2,,,,,481.990099009901,276.953407455099,93.02752919823232,13.779190362184817
fifo,0.2,10,100,orca,3,3,,,,,648.91,349.76263509570447,93.02752919823232,13.779190362184817
fifo,0.2,10,100,orca,4,0,62.53698984848485,20.995356520753816,22.80534599000214,0.6240656484524207,1106.0301000000002,358.62575481292663,93.06427162247475,13.686307614860224
fifo,0.2,10,100,orca,4,1,32.92890255555555,11.171321696311702,22.938363843461293,0.3728328460794993,588.8415841584158,233.29970993009263,93.06427162247475,13.686307614860224
fifo,0.2,10,100,orca,4,2,27.909395404040403,17.344880947270234,22.919078780933315,0.2548149251641993,502.7017821782178,291.38827828310474,93.06427162247475,13.686307614860224
fifo,0.2,10,100,orca,4,3,41.33597198989899,33.67232209419391,22.708562845800525,0.45111311429915996,580.55,373.575743134623,93.06427162247475,13.686307614860224
fifo,0.2,10,100,orca,5,0,58.820104656565654,22.833985081914324,22.864866466069586,0.5401625254280895,888.61,263.2014205466562,93.18043323863635,13.609239737755201
fifo,0.2,10,100,orca,5,1,39.4644464040404,10.7646930173432,23.041892330264414,0.318645786097865,688.4950495049505,205.2970834552881,93.18043323863635,13.609239737755201
fifo,0.2,10,100,orca,5,2,27.928932161616167,19.42843713065176,22.980478545948202,0.24206035310668242,502.74257425742576,311.2298396190618,93.18043323863635,13.609239737755201
fifo,0.2,10,100,orca,5,3,38.868453696969695,35.18444738269632,22.73227034874268,0.49521536968767205,556.78,381.50635987655915,93.18043323863635,13.609239737755201
fifo,0.2,10,100,aurora,1,0,0.5477541,0.45495685755190585,20.268542424242423,0.12345341523359574,0.0,0.0,1.3606234217171718,0.8157184274498969
fifo,0.2,10,100,aurora,1,1,0.5405318,0.39782221808689344,20.219541414141418,0.1408827577478268,0.0,0.0,1.3606234217171718,0.8157184274498969
fifo,0.2,10,100,aurora,1,2,0.5326179799999999,0.3420464860303298,20.224968686868685,0.0876469083316397,0.0,0.0,1.3606234217171718,0.8157184274498969
fifo,0.2,10,100,aurora,1,3,0.5393462499999999,0.39040716615474325,20.148344444444447,0.046064965708872994,0.0,0.0,1.3606234217171718,0.8157184274498969
fifo,0.2,10,100,aurora,2,0,0.5602033200000001,0.5410509380534916,20.182487878787878,0.047385232506976856,0.0,0.0,1.409481534090909,0.9162847112938464
fifo,0.2,10,100,aurora,2,1,0.5691635,0.5830444108677755,20.280770707070708,0.17559654548489734,0.0,0.0,1.409481534090909,0.9162847112938464
fifo,0.2,10,100,aurora,2,2,0.53937115,0.3914801816412502,20.129769696969696,0.05398619334937602,0.0,0.0,1.409481534090909,0.9162847112938464
fifo,0.2,10,100,aurora,2,3,0.53714967,0.37569366427224216,20.156496969696974,0.0642903418247877,0.0,0.0,1.409481534090909,0.9162847112938464
fifo,0.2,10,100,aurora,3,0,0.5534440800000001,0.4942924346270627,20.145650505050508,0.04384890423720462,0.0,0.0,1.4390183080808079,1.0225472379551233
fifo,0.2,10,100,aurora,3,1,0.56765616,0.5817603686209244,20.216288888888894,0.047607094928470046,0.0,0.0,1.4390183080808079,1.0225472379551233
fifo,0.2,10,100,aurora,3,2,0.5355073699999999,0.36270291580962116,20.254242424242424,0.19333608946066075,0.0,0.0,1.4390183080808079,1.0225472379551233
fifo,0.2,10,100,aurora,3,3,0.5776693,0.6247855908994585,20.287566666666667,0.15674901034742755,0.0,0.0,1.4390183080808079,1.0225472379551233
fifo,0.2,10,100,aurora,4,0,0.5562556,0.5132807346838922,20.202630303030304,0.10009943673978154,0.0,0.0,1.4206060606060602,0.9491753692669498
fifo,0.2,10,100,aurora,4,1,0.54612718,0.4315344678910453,20.161917171717175,0.08506712480465917,0.0,0.0,1.4206060606060602,0.9491753692669498
fifo,0.2,10,100,aurora,4,2,0.5577422700000001,0.5214328082198292,20.153557575757574,0.06584856791232377,0.0,0.0,1.4206060606060602,0.9491753692669498
fifo,0.2,10,100,aurora,4,3,0.5562283,0.4962185334814031,20.20667676767677,0.07019252944185374,0.0,0.0,1.4206060606060602,0.9491753692669498
