protocol,bandwidth,delay,qmult,run,avg_thr,avg_goodput,avg_srtt,std_thr,std_goodput,std_srtt,avg_retr,std_retr,efficiency_thr,efficiency_gdp,efficiency_rtt,efficiency_q_avg,efficiency_q_std,jain_goodput_20,jain_goodput_total
cubic,100,41,0.08,4,90.791168,87.29997905396499,83.36982196621994,5.713249303473278,5.432870682127266,1.6408440665143638,0.00016199999999999998,0.00039565535241512504,0.90791168,0.8729997905396499,0.9835693307972401,0.9080660399999999,0.05764714943847156,0.8907158044026938,0.8628162563305402
cubic,100,41,0.08,5,90.29915600000001,86.85526048803,82.92947157964309,5.252987655334718,4.714344624248095,1.307889555812229,0.00015000000000000001,0.00038121688812206854,0.9029915600000001,0.8685526048803,0.9887920233671035,0.9028760399999998,0.05400240509480647,0.4130849757318755,0.4331514655381248
cubic,100,41,0.1,1,92.89320400000001,89.58517227978999,85.68198509638266,4.014045277732727,3.719724576824576,2.4764627837783713,0.000216,0.00034953201795965324,0.9289320400000001,0.8958517227978998,0.957027313358335,0.9291668,0.041906800566771485,2.8023452693670468,1.5884537839064017
cubic,100,41,0.1,2,90.63825999999999,88.50762058109,84.41835463735927,4.621656436004645,3.2389431654945815,2.32840345916808,0.0001317,0.0003740544711247561,0.9063825999999999,0.8850762058109,0.9713527390133587,0.9067874399999999,0.04672837875055327,1.252234077330997,0.867609950439314
cubic,100,41,0.1,3,92.14915599999999,90.03572482282499,84.8303848806525,4.9356661641591275,3.570493116961968,2.078377923837451,0.000126,0.0003359887216152226,0.9214915599999999,0.9003572482282499,0.9666347749732062,0.9215432,0.05112894029918766,0.5445798163571253,1.1804920724221337
cubic,100,41,0.1,4,93.09530000000001,92.32238179946,84.20876612043698,3.7693154269205236,12.120810426686049,2.331865805828008,0.000192,0.0004946194709598801,0.9309530000000001,0.9232238179946001,0.973770354059363,0.9311360799999999,0.03780332391325008,1.0172241832200881,1.2083980600972004
cubic,100,41,0.1,5,90.216164,87.00426309599001,84.50519809818665,5.544641692306848,4.957077633985233,2.564261476206578,0.00015000000000000001,0.0003435725618601665,0.9021616400000001,0.8700426309599001,0.970354508899253,0.9026645600000002,0.05775202393630343,2.699087034506685,1.6292855345513266
cubic,100,41,0.2,1,94.02774000000002,90.54668645986501,90.31232560557231,2.0535291552990316,1.7046499576837104,3.3887337969901328,9.599999999999999e-05,0.00025411145503291934,0.9402774000000003,0.9054668645986501,0.907960230789811,0.94039804,0.024213297006275412,0.6097875306735882,0.664067363376723
cubic,100,41,0.2,2,94.14452800000001,90.86480648415001,91.46336392578769,1.5886420353761925,1.4840079898523244,3.759324949575911,0.00015000000000000001,0.00042981023964682737,0.94144528,0.9086480648415001,0.8965338303818986,0.9418786800000001,0.01783763327850774,0.9438910555510565,1.610034442810313
cubic,100,41,0.2,3,94.361548,90.63245157371999,91.95125618477513,1.6898584091219007,1.2959022513204927,3.6221040009986103,0.00016800000000000002,0.00045636550448539657,0.94361548,0.9063245157371999,0.891776832664709,0.9444276800000001,0.018850051566301096,1.5182183607112323,0.7862151977050622
